"","Sender_account","Receiver_account","Sender_bank_location","Receiver_bank_location","Is_laundering"
"318",7401327478,4336451277,"UK","UK",1
"1207",6340007440,4316483340,"UK","India",1
"1650",3758118046,6081504025,"UK","Mexico",1
"1955",445154846,4497771501,"UK","Nigeria",1
"3305",2758469152,2987279234,"UK","UK",1
"3482",5748489103,5971760311,"UK","USA",1
"3984",4928880336,1082642344,"Japan","UK",1
"4665",4624222122,8683543845,"UK","UK",1
"4755",5262095561,927895922,"UK","UK",1
"5182",2369776263,988008298,"UK","UK",1
"5255",8501920513,9722096196,"UK","Nigeria",1
"6317",7877406257,6644790956,"UK","UK",1
"8075",6219666393,3919105611,"UK","UK",1
"10508",5535491870,1681811645,"UK","Turkey",1
"10517",7147448786,5557620276,"UK","UK",1
"10856",987302110,3546293157,"UK","UK",1
"11832",8212001718,4675771219,"UK","UK",1
"14766",1587046893,9021009219,"UK","UK",1
"15190",976070224,7951108994,"UK","UK",1
"15642",2482785525,2327949023,"UK","UK",1
"16343",3979625953,5869654043,"UK","UK",1
"16635",4624222122,4900827431,"UK","UK",1
"18603",3895286750,6174768568,"UK","Japan",1
"18841",7147448786,5557620276,"UK","UK",1
"19161",466498973,9021009219,"UK","UK",1
"20597",9444956233,8202539172,"Japan","UK",1
"20695",9141887311,8202539172,"UK","UK",1
"21361",7147448786,5557620276,"UK","UK",1
"22520",8093648634,2987279234,"Albania","UK",1
"23488",6340007440,4316483340,"UK","India",1
"23537",6658116904,6469485685,"UK","UK",1
"23574",4501271268,4497771501,"UK","Nigeria",1
"24709",4972307187,7951108994,"UK","UK",1
"24913",6855720762,8201057754,"UK","UK",1
"25479",3979625953,390237565,"UK","UK",1
"26282",6381030298,9553458659,"UK","UK",1
"26936",7147448786,5557620276,"UK","UK",1
"26941",7900125583,4548390037,"UK","Turkey",1
"28748",4675771219,2697605096,"UK","UK",1
"29216",5931070343,6644790956,"UK","UK",1
"31254",8501920513,9488471937,"UK","Turkey",1
"33653",2649480083,3546293157,"UK","UK",1
"33861",9352740070,5218803866,"UK","Italy",1
"34231",2975433371,2531548770,"UK","Albania",1
"35829",7900125583,7803522559,"UK","Turkey",1
"36384",2626270774,1082642344,"UK","UK",1
"36589",9855729126,2327949023,"UK","UK",1
"37209",3267846600,5033262977,"UK","UK",1
"38569",7785245954,8202539172,"UK","UK",1
"40532",1291265097,8201057754,"Italy","UK",1
"43993",5825377846,250142155,"UK","USA",1
"44755",9332541212,1077741499,"UK","Mexico",1
"45607",5748489103,7067073417,"UK","UK",1
"46555",7419470415,3173291888,"UK","Albania",1
"47739",9330449479,1407059664,"UK","UK",1
"49455",142007788,9696157978,"UK","UK",1
"51416",5040384414,2875874575,"UK","UK",1
"51433",2369776263,4100600686,"UK","UK",1
"51476",2369776263,4254045660,"UK","UK",1
"51887",4405331748,9696157978,"UK","UK",1
"51955",9330449479,1407059664,"UK","UK",1
"52262",7279271900,3173291888,"UK","Albania",1
"54297",78750373,3919105611,"UK","UK",1
"56591",2737194318,2327949023,"UK","UK",1
"56829",2520061873,1277972178,"UK","UK",1
"56884",9678311627,4604350890,"UK","UK",1
"57251",3989101183,2987279234,"UK","UK",1
"57396",8501920513,1766338062,"UK","Mexico",1
"57755",2369776263,7701458546,"UK","UK",1
"58519",6088569153,5098225823,"UK","India",1
"58626",5772924864,4689351304,"UK","UK",1
"58949",524887805,4783616175,"UK","UK",1
"60003",9678311627,4604350890,"UK","UK",1
"65191",7900125583,7625945339,"UK","Nigeria",1
"65281",120902347,5709569908,"UK","UK",1
"70720",6381030298,9553458659,"UK","UK",1
"70826",8498139448,7951108994,"UK","UK",1
"70965",3979625953,4346395450,"UK","UK",1
"71239",1775046511,4497771501,"UK","Nigeria",1
"72791",9332541212,3723419199,"UK","UK",1
"74109",9107206798,459201377,"Switzerland","UK",1
"75054",389024076,6469485685,"UK","UK",1
"75250",9741665599,2531548770,"UK","Albania",1
"75269",5825377846,250142155,"UK","USA",1
"76203",2528352705,3546293157,"UK","UK",1
"77402",2697605096,726077956,"UK","Mexico",1
"77803",8707551848,3919105611,"UK","UK",1
"78699",6340007440,4316483340,"UK","India",1
"82411",6837507008,2531548770,"UK","Albania",1
"82492",6267865191,5709569908,"UK","UK",1
"83397",6381030298,9553458659,"UK","UK",1
"83707",5074743934,5218803866,"UK","Italy",1
"83741",3979625953,3623327233,"UK","Spain",1
"84097",3591030456,947838216,"UK","UK",1
"84398",5825377846,250142155,"UK","USA",1
"85108",389024076,6771036247,"UK","UK",1
"85976",8078880434,5644818249,"UK","UK",1
"86107",3767006545,1323517665,"UK","UK",1
"86165",2090244022,2286679717,"UK","UK",1
"88018",207936746,6283846212,"UK","UK",1
"89278",5262095561,927895922,"UK","UK",1
"89766",9678311627,4604350890,"UK","UK",1
"89945",6340007440,4316483340,"UK","India",1
"90989",5396594127,459201377,"UK","UK",1
"91997",8600542721,7863533708,"UK","Switzerland",1
"92796",8394329540,5334788886,"UK","UK",1
"92927",3366160080,3546293157,"Germany","UK",1
"92999",9678311627,4604350890,"UK","UK",1
"93510",5932891635,2327949023,"UK","UK",1
"93876",8600542721,5111509251,"UK","UK",1
"94825",3962781574,2987279234,"UK","UK",1
"96400",6558961368,3173291888,"Turkey","Albania",1
"96420",2369776263,266182901,"UK","UK",1
"96513",9330449479,1407059664,"UK","UK",1
"100292",4468415510,8983645623,"UK","UK",1
"102000",3211540762,6644790956,"UK","UK",1
"103247",9234269769,9696157978,"UK","UK",1
"104184",5617532830,4497771501,"Mexico","Nigeria",1
"104442",9935797721,7951108994,"UK","UK",1
"106118",2090244022,4346395450,"UK","UK",1
"107253",7437186310,3173291888,"UK","Albania",1
"107279",403526894,6340811554,"UK","UK",1
"107377",2783073273,6644790956,"UK","UK",1
"110853",9350495967,2327949023,"Switzerland","UK",1
"111172",4533141883,459201377,"Nigeria","UK",1
"112341",3979625953,9369763023,"UK","UK",1
"113093",3046750994,5709569908,"USA","UK",1
"113788",3767006545,1323517665,"UK","UK",1
"115546",8461222114,2987279234,"UK","UK",1
"115638",9485651027,6985374793,"UK","UK",1
"115984",9678311627,4604350890,"UK","UK",1
"117523",3767006545,1323517665,"UK","UK",1
"118856",8600542721,7442263375,"UK","UK",1
"118936",7401327478,4336451277,"UK","UK",1
"119041",819399232,5218803866,"UK","Italy",1
"120528",726077956,6088675358,"Mexico","UK",1
"122847",6658116904,6771036247,"UK","UK",1
"123321",3201382642,9749980386,"UK","UK",1
"123565",1422891634,4497771501,"UK","Nigeria",1
"123897",5262095561,927895922,"UK","UK",1
"124860",2090244022,5869654043,"UK","UK",1
"125077",8957068054,6207125149,"UK","France",1
"126232",5748489103,5373239176,"UK","Nigeria",1
"127290",2875874575,7862289914,"UK","Italy",1
"128159",7900125583,3009831077,"UK","UAE",1
"128854",3190048835,2531548770,"UK","Albania",1
"129012",5748489103,1481628676,"UK","UK",1
"129491",5825377846,250142155,"UK","USA",1
"131959",8501920513,2121314434,"UK","Morocco",1
"132610",6978297094,1082642344,"UK","UK",1
"135438",403526894,9251224425,"UK","USA",1
"136187",7828122612,4689351304,"UK","UK",1
"136892",3342935265,5218803866,"UK","Italy",1
"136903",285552105,5668411164,"UK","UK",1
"137350",435764827,7040046475,"UK","UK",1
"137737",7401327478,4336451277,"UK","UK",1
"140115",4753178310,1082642344,"UK","UK",1
"141590",8600542721,5594825011,"UK","Switzerland",1
"141622",5191792876,4723035903,"UK","Italy",1
"141978",988008298,2412223098,"UK","UK",1
"143412",9678311627,4604350890,"UK","UK",1
"144604",3027507704,7535520218,"UK","UK",1
"145723",1681811645,4157322207,"Turkey","UK",1
"145762",5262095561,927895922,"UK","UK",1
"145985",9330449479,1407059664,"UK","UK",1
"147479",3783057593,2531548770,"UK","Albania",1
"148661",8394329540,5334788886,"UK","UK",1
"148840",3767006545,1323517665,"UK","UK",1
"150591",9085937756,6644790956,"UK","UK",1
"151413",5057689301,3267846600,"UK","UK",1
"153239",3556481259,5019320065,"UK","UK",1
"153685",266182901,2412223098,"UK","UK",1
"154108",8600542721,8804315251,"UK","Mexico",1
"154190",6381030298,9553458659,"UK","UK",1
"155299",5772818011,2327949023,"UK","UK",1
"155332",2440773125,7951108994,"UK","UK",1
"155875",8600542721,7689874264,"UK","Albania",1
"158162",7877257337,4497771501,"UK","Nigeria",1
"158412",5883863892,2987279234,"UK","UK",1
"158788",6566598426,7772352930,"UK","UK",1
"163561",3453088802,1640969510,"UK","UK",1
"164258",403526894,6278554025,"UK","UK",1
"164441",2447476655,5218803866,"USA","Italy",1
"165049",1457356634,6644790956,"UK","UK",1
"165292",9330449479,1407059664,"UK","UK",1
"165886",6381030298,9553458659,"UK","UK",1
"166020",2090244022,9369763023,"UK","UK",1
"167703",4957058371,459201377,"UK","UK",1
"168117",403526894,550795603,"UK","UK",1
